Country,EF_index
Afghanistan,.76300001
Albania,.139
Algeria,.37200001
Angola,.77899998
Argentina,.15800001
Armenia,.045000002
Australia,.27599999
Austria,.248
Azerbaijan,.122
Bahrain,.58200002
Bangladesh,.025
Belarus,.30899999
Belgium,.59200001
Benin,.764
Bhutan,.65100002
Bolivia,.57200003
Bosnia-Herzegovina,.63700002
Botswana,.39500001
Brazil,.55900002
Bulgaria,.289
Burkina Faso,.76700002
Burundi,.308
Cambodia,.15800001
Canada,.73000002
Cape Verde,.442
Central African Republic,.79000002
Chad,.85500002
Chile,.43900001
China,.19
Colombia,.639
Comoros,.054000001
Congo,.704
Costa Rica,.398
Cote d'Ivoire,.73100001
Croatia,.171
Cuba,.51700002
Cyprus,.347
Czech Republic,.26199999
Democratic People's Republic of Korea,.02
Democratic Republic of Congo,.69999999
Democratic Republic of Vietnam,.26300001
Denmark,.177
Djibouti,.64899999
Dominican Republic,.45300001
East Timor,.80199999
Ecuador,.528
Egypt,.041000001
El Salvador,.16500001
Eritrea,.65899998
Estonia,.458
Ethiopia,.78299999
Fiji,.528
Finland,.138
Gabon,.78899997
Gambia,.76200002
Georgia,.36700001
German Federal Republic,.189
Ghana,.736
Greece,.167
Guatemala,.51099998
Guinea,.727
Guinea-Bissau,.80800003
Guyana,.69499999
Haiti,.105
Honduras,.229
Hungary,.23199999
Indonesia,.80299997
Iran,.74299997
Iraq,.44600001
Ireland,.17399999
Israel,.37599999
Italy,.11
Jamaica,.20999999
Japan,.018999999
Jordan,.044
Kazakhstan,.53799999
Kenya,.85500002
Kuwait,.76499999
Kyrgyz Republic,.48699999
Laos,.634
Latvia,.54699999
Lebanon,.133
Lesotho,.31299999
Liberia,.889
Libya,.259
Lithuania,.28400001
Macedonia,.56199998
Madagascar,.19400001
Malawi,.79100001
Malaysia,.56999999
Mali,.852
Mauritania,.713
Mauritius,.46599999
Mexico,.58700001
Moldova,.42699999
Mongolia,.315
Morocco,.56599998
Myanmar,.58999997
Namibia,.75999999
Nepal,.86000001
Netherlands,.354
New Zealand,.48500001
Nicaragua,.54400003
Niger,.66600001
Nigeria,.85000002
Norway,.15099999
Oman,.597
Pakistan,.74800003
Panama,.61199999
Paraguay,.17900001
Peru,.61799997
Philippines,.80699998
Poland,.068999998
Portugal,.22
Qatar,.708
Republic of Korea,.094999999
Romania,.207
Russia,.37599999
Rwanda,.28
Saudi Arabia,.22400001
Senegal,.74699998
Serbia,.396
Sierra Leone,.801
Singapore,.39500001
Slovakia,.241
Slovenia,.25799999
Solomon Islands,.097000003
Somalia,.222
South Africa,.85600001
Spain,.66900003
Sri Lanka,.32300001
Sudan,.74599999
Swaziland,.38999999
Sweden,.219
Switzerland,.36700001
Syria,.213
Taiwan,.373
Tajikistan,.36700001
Tanzania,.59100002
Thailand,.352
Togo,.88
Trinidad and Tobago,.65499997
Tunisia,.034000002
Turkey,.52100003
Turkmenistan,.255
Uganda,.88300002
Ukraine,.37
United Arab Emirates,.68400002
United Kingdom,.39899999
United States of America,.52700001
Uruguay,.176
Uzbekistan,.31299999
Venezuela,.51999998
Yemen Arab Republic,.126
Zambia,.70599997
Zimbabwe,.41499999
