,0,1
0,University of Oxford,100
1,University of Cambridge,99
2,London School of Economics and Poli...,96
3,University of St Andrews,95
4,Imperial College London,90
5,Durham University,89
6,Loughborough University,87
7,UCL (University College London),85
8,University of Warwick,84
9,University of Bath,84
10,Lancaster University,82
11,University of Edinburgh,80
12,University of Manchester,79
13,University of Exeter,79
14,University of Southampton,78
15,University of Glasgow,77
16,University of Bristol,77
17,University of York,76
18,University of Birmingham,75
19,University of Leeds,75
20,"King's College London, University o...",75
21,University of East Anglia UEA,74
22,Heriot-Watt University,73
23,University of Nottingham,73
24,Cardiff University,73
25,University of Sheffield,72
26,University of Essex,72
27,University of Dundee,72
28,Swansea University,72
29,University of Strathclyde,72
30,University of Liverpool,72
31,"Royal Holloway, University of Londo...",71
32,Harper Adams University,71
33,Queen's University Belfast,71
34,University of Surrey,71
35,University of Reading,70
36,Newcastle University,70
37,University of Stirling,69
38,University of Aberdeen,69
39,University of Leicester,68
40,University of Sussex,67
41,Queen Mary University of London,67
42,University of the Arts London,66
43,Ulster University,64
44,Nottingham Trent University,64
45,University of Lincoln,63
46,"Aston University, Birmingham",63
47,SOAS University of London,63
48,"Northumbria University, Newcastle",63
49,University of Kent,63
50,Oxford Brookes University,63
51,Coventry University,62
52,University of Huddersfield,62
53,"City, University of London",61
54,"Bristol, University of the West of ...",61
55,Manchester Metropolitan University,61
56,Arts University Bournemouth,61
57,Keele University,61
58,Aberystwyth University,61
59,Edge Hill University,60
60,"St George's, University of London",60
61,Brunel University London,60
62,Cardiff Metropolitan University,60
63,"Goldsmiths, University of London",60
64,Robert Gordon University,59
65,Bangor University,59
66,Sheffield Hallam University,59
67,Bournemouth University,58
68,University of Plymouth,58
69,University of Chichester,57
70,University of Hull,57
71,University of Chester,56
72,Liverpool John Moores University,56
73,University of Portsmouth,56
74,University for the Creative Arts,56
75,Liverpool Hope University,55
76,Edinburgh Napier University,55
77,Glasgow Caledonian University,55
78,University of Roehampton,55
79,University of Hertfordshire,55
80,University of Brighton,55
81,Birmingham City University,54
82,University of Salford,54
83,Norwich University of the Arts,54
84,University of Bradford,53
85,Kingston University,53
86,University of Worcester,53
87,"Queen Margaret University, Edinburg...",53
88,University of Central Lancashire,52
89,University of Northampton,52
90,University of South Wales,52
91,University of Sunderland,51
92,University of Greenwich,51
93,University of West London,51
94,"Teesside University, Middlesbrough",51
95,University of Derby,51
96,Staffordshire University,50
97,University of Gloucestershire,50
98,Falmouth University,49
99,University of Cumbria,49
100,De Montfort University,48
101,Buckinghamshire New University,48
102,University of Wales Trinity Saint D...,48
103,University of the West of Scotland,48
104,Bath Spa University,48
105,University of Winchester,47
106,Middlesex University,47
107,London South Bank University,46
108,Abertay University,46
109,Leeds Beckett University,46
110,York St John University,46
111,"St Mary's University, Twickenham",46
112,University of Bolton,45
113,"University of Westminster, London",45
114,Royal Agricultural University,45
115,Plymouth Marjon University,44
116,Anglia Ruskin University,44
117,Canterbury Christ Church University,43
118,London Metropolitan University,43
119,Solent University (Southampton),43
120,"Newman University, Birmingham",42
121,Bishop Grosseteste University,40
122,University of Buckingham,40
123,University of Wolverhampton,40
124,Leeds Trinity University,40
125,University of Suffolk,40
126,University of East London,37
127,"Glyndwr University, Wrexham",36
128,Ravensbourne University London,33
129,University of Bedfordshire,30
